Serial Number,Name,Symptoms
121,Acute myelogenous leukemia,"Fever,Bone pain,Lethargy and fatigue,Shortness of breath,Pale skin,Frequent infections,Easy bruising,Unusual bleeding, such as frequent nosebleeds and bleeding from the gums,"
122,Pet allergy,"Sneezing,Runny nose,Itchy, red or watery eyes,Nasal congestion,Itchy nose, roof of mouth or throat,Postnasal drip,Cough,Facial pressure and pain,Frequent awakening,Swollen, blue-colored skin under your eyes,In a child, frequent upward rubbing of the nose,"
123,Common warts,"Small, fleshy, grainy bumps,Flesh-colored, white, pink or tan,Rough to the touch,Sprinkled with black pinpoints, which are small, clotted blood vessels,"
124,Proctitis,"Symptoms & causes,Diagnosis & treatment,"
125,Epidermoid cysts,"A small, round bump under the skin, usually on the face, neck or trunk,A tiny blackhead plugging the central opening of the cyst,A thick, yellow, smelly material that sometimes drains from the cyst,Redness, swelling and tenderness in the area, if inflamed or infected,"
126,Childhood obesity,"
Bariatric surgery
,
Cholesterol test
,"
127,Ankylosing spondylitis,"The joint between the base of your spine and your pelvis,The vertebrae in your lower back,The places where your tendons and ligaments attach to bones, mainly in your spine, but sometimes along the back of your heel,The cartilage between your breastbone and ribs,Your hip and shoulder joints,"
128,Earwax blockage,"Earache,Feeling of fullness in the affected ear,Ringing or noises in the ear (tinnitus),Decreased hearing in the affected ear,Dizziness,Cough,"
129,Metachromatic leukodystrophy,"Loss of the ability to detect sensations, such as touch, pain, heat and sound,Loss of intellectual, thinking and memory skills,Loss of motor skills, such as walking, moving, speaking and swallowing,Stiff, rigid muscles, poor muscle function and paralysis,Loss of bladder and bowel function,Gallbladder problems,Blindness,Hearing loss,Seizures,Emotional and behavioral problems, including unstable emotions and substance misuse,"
130,Thunderclap headaches,"Strikes suddenly and severely,Peaks within 60 seconds,Can be accompanied by nausea or vomiting,"
131,Patent foramen ovale,"The right atrium. The upper right chamber (right atrium) receives oxygen-poor blood from your body and pumps it into the right ventricle through the tricuspid valve.,The right ventricle. The lower right chamber (right ventricle) pumps the blood through a large vessel called the pulmonary artery and into the lungs, where the blood is resupplied with oxygen and carbon dioxide is removed from the blood. The blood is pumped through the pulmonary valve, which closes when the right ventricle relaxes between beats.,The left atrium. The upper left chamber (left atrium) receives the oxygen-rich blood from the lungs through the pulmonary veins and pumps it into the left ventricle through the mitral valve.,The left ventricle. The lower left chamber (left ventricle) pumps the oxygen-rich blood through a large vessel called the aorta and on to the rest of the body. The blood passes through the aortic valve, which also closes when the left ventricle relaxes.,"
132,Delayed sleep phase,"
Book: Mayo Clinic Family Health Book, 5th Edition
,
Newsletter: Mayo Clinic Health Letter — Digital Edition
,"
133,Salmonella infection,"Nausea,Vomiting,Abdominal cramps,Diarrhea,Fever,Chills,Headache,Blood in the stool,"
134,Limited scleroderma,"Tight, hardened skin. In limited scleroderma, skin changes typically affect only the lower arms and legs, including fingers and toes, and sometimes the face and neck. Skin can look shiny from being pulled taut over underlying bone. It may become difficult to bend your fingers or to open your mouth.,Raynaud's phenomena. This condition occurs when small blood vessels in your fingers and toes spasm in response to cold or emotional stress, blocking the flow of blood. In most people, the skin turns white before becoming blue, cold and numb.
When circulation improves, the skin usually reddens and might throb or tingle. Raynaud's phenomena is often the first sign of limited scleroderma, but many people who have Raynaud's never develop scleroderma.,Red spots or lines on skin. The swelling of tiny blood vessels near the skin's surface cause these small red spots or lines (telangiectasias). Not painful, they occur primarily on the hands and face.,Bumps under the skin. Limited scleroderma can cause tiny calcium deposits (calcinosis) to develop under your skin, mainly on your elbows, knees and fingers. You can see and feel these deposits, which sometimes are tender or become infected.,Swallowing difficulties. Limited scleroderma commonly causes problems with the tube that connects the mouth and stomach (esophagus). Poor functioning of the muscles in the upper and lower esophagus can make swallowing difficult and allow stomach acids to back up into the esophagus, leading to heartburn, inflammation and scarring of esophageal tissues.,"
135,Vertebral tumor,"Pain at the site of the tumor due to tumor growth,Back pain, often radiating to other parts of your body,Back pain that's worse at night,Loss of sensation or muscle weakness, especially in your arms or legs,Difficulty walking, sometimes leading to falls,Feeling less sensitive to cold, heat and pain,Loss of bowel or bladder function,Paralysis, which may be mild or severe, and can strike in different areas throughout the body,"
136,Waldenstrom macroglobulinemia,"Easy bruising,Bleeding from the nose or the gums,Fatigue,Weight loss,Numbness in your hands or feet,Fever,Headache,Shortness of breath,Changes in vision,Confusion,"
137,Hypothermia,"Shivering,Slurred speech or mumbling,Slow, shallow breathing,Weak pulse,Clumsiness or lack of coordination,Drowsiness or very low energy,Confusion or memory loss,Loss of consciousness,Bright red, cold skin (in infants),"
138,Adnexal tumors,"
Book: Mayo Clinic Family Health Book, 5th Edition
,
Newsletter: Mayo Clinic Health Letter — Digital Edition
,"
139,Meralgia paresthetica,"Tingling and numbness in the outer (lateral) part of your thigh,Burning pain on the surface of the outer part of your thigh,"
140,Seasonal affective disorder (SAD),"Feeling depressed most of the day, nearly every day,Losing interest in activities you once enjoyed,Having low energy,Having problems with sleeping,Experiencing changes in your appetite or weight,Feeling sluggish or agitated,Having difficulty concentrating,Feeling hopeless, worthless or guilty,Having frequent thoughts of death or suicide,"
141,Uterine prolapse,"
MRI
,
Pelvic exam
,
Ultrasound
,"
142,Bell's palsy,"Rapid onset of mild weakness to total paralysis on one side of your face — occurring within hours to days,Facial droop and difficulty making facial expressions, such as closing your eye or smiling,Drooling,Pain around the jaw or in or behind your ear on the affected side,Increased sensitivity to sound on the affected side,Headache,A loss of taste,Changes in the amount of tears and saliva you produce,"
143,Tonsil cancer,"
Home enteral nutrition
,
Transoral robotic surgery
,"
144,Scrotal masses,"
An unusual lump
,
Sudden pain
,
A dull aching pain or feeling of heaviness in the scrotum
,
Pain that radiates throughout the groin, abdomen or lower back
,
Tender, swollen or hardened testicle
,
Tender, swollen or hardened epididymis (ep-ih-DID-uh-miss), the soft, comma-shaped tube above and behind the testicle that stores and transports sperm
,
Swelling in the scrotum
,
Redness of the skin of the scrotum
,
Nausea or vomiting
,"
145,Peyronie's disease,"Scar tissue. The scar tissue associated with Peyronie's disease — called plaque but different from plaque that can build up in blood vessels — can be felt under the skin of the penis as flat lumps or a band of hard tissue.,A significant bend to the penis. Your penis might curve upward or downward or bend to one side.,Erection problems. Peyronie's disease might cause problems getting or maintaining an erection (erectile dysfunction). But, often men report erectile dysfunction before the beginning of Peyronie's disease symptoms. ,Shortening of the penis. Your penis might become shorter as a result of Peyronie's disease.,Pain. You might have penile pain, with or without an erection.,Other penile deformity. In some men with Peyronie's disease, the erect penis might have narrowing, indentations or even an hourglass-like appearance, with a tight, narrow band around the shaft.,"
146,Hyperthyroidism (overactive thyroid),"Unintentional weight loss, even when your appetite and food intake stay the same or increase,Rapid heartbeat (tachycardia) — commonly more than 100 beats a minute,Irregular heartbeat (arrhythmia),Pounding of your heart (palpitations),Increased appetite,Nervousness, anxiety and irritability,Tremor — usually a fine trembling in your hands and fingers,Sweating,Changes in menstrual patterns,Increased sensitivity to heat,Changes in bowel patterns, especially more frequent bowel movements,An enlarged thyroid gland (goiter), which may appear as a swelling at the base of your neck,Fatigue, muscle weakness,Difficulty sleeping,Skin thinning,Fine, brittle hair,"
147,Sick sinus syndrome,"Symptoms & causes,Diagnosis & treatment,Doctors & departments,"
148,Vasculitis,"Fever,Headache,Fatigue,Weight loss,General aches and pains,Night sweats,Rash,Nerve problems, such as numbness or weakness,"
149,Graves' disease,"Anxiety and irritability,A fine tremor of the hands or fingers,Heat sensitivity and an increase in perspiration or warm, moist skin,Weight loss, despite normal eating habits,Enlargement of the thyroid gland (goiter),Change in menstrual cycles,Erectile dysfunction or reduced libido,Frequent bowel movements,Bulging eyes (Graves' ophthalmopathy),Fatigue,Thick, red skin usually on the shins or tops of the feet (Graves' dermopathy),Rapid or irregular heartbeat (palpitations),Sleep disturbance,"
